GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cg25,it.polimi.ingsw.cg25.parsing,RegionParser,31,336,2,20,6,59,2,16,0,7
cg25,it.polimi.ingsw.cg25.parsing,BoardFactory,7,103,0,0,2,22,0,2,0,2
cg25,it.polimi.ingsw.cg25.parsing,GraphParser,16,99,1,9,3,20,1,8,0,4
cg25,it.polimi.ingsw.cg25.parsing,NobilityCellParser,0,100,0,8,0,20,0,7,0,3
cg25,it.polimi.ingsw.cg25.parsing,KingParser,19,136,1,9,3,29,1,9,0,5
cg25,it.polimi.ingsw.cg25.parsing,CitiesParser,0,254,1,15,0,52,1,10,0,3
cg25,it.polimi.ingsw.cg25.parsing,PoliticsParser,0,159,0,18,0,28,0,13,0,4
cg25,it.polimi.ingsw.cg25.model.dto.dtobonus,DTONobilityPointBonus,0,5,0,0,0,2,0,1,0,1
cg25,it.polimi.ingsw.cg25.model.dto.dtobonus,DTOAssistantBonus,0,5,0,0,0,2,0,1,0,1
cg25,it.polimi.ingsw.cg25.model.dto.dtobonus,DTOBonus,0,113,0,14,0,24,0,16,0,9
cg25,it.polimi.ingsw.cg25.model.dto.dtobonus,BonusGenerator,0,48,0,0,0,10,0,10,0,10
cg25,it.polimi.ingsw.cg25.model.dto.dtobonus,DTOPermitCardBonus,0,5,0,0,0,2,0,1,0,1
cg25,it.polimi.ingsw.cg25.model.dto.dtobonus,DTOCoinBonus,0,5,0,0,0,2,0,1,0,1
cg25,it.polimi.ingsw.cg25.model.dto.dtobonus,DTOReusePermitBonus,0,5,0,0,0,2,0,1,0,1
cg25,it.polimi.ingsw.cg25.model.dto.dtobonus,DTOVictoryPointBonus,0,5,0,0,0,2,0,1,0,1
cg25,it.polimi.ingsw.cg25.model.dto.dtobonus,DTODrawPoliticsCardBonus,0,5,0,0,0,2,0,1,0,1
cg25,it.polimi.ingsw.cg25.model.dto.dtobonus,DTOMainActionBonus,0,5,0,0,0,2,0,1,0,1
cg25,it.polimi.ingsw.cg25.model.dto.dtobonus,DTOCityBonus,0,5,0,0,0,2,0,1,0,1
cg25,it.polimi.ingsw.cg25.model.dashboard.topological,Region,1,155,0,20,1,43,0,18,0,8
cg25,it.polimi.ingsw.cg25.model.dashboard.topological,CityColor,0,48,0,6,0,15,0,7,0,4
cg25,it.polimi.ingsw.cg25.model.dashboard.topological,City,2,122,1,17,0,37,1,18,0,10
cg25,it.polimi.ingsw.cg25.model,HSBColor,9,345,13,59,2,74,12,34,0,10
cg25,it.polimi.ingsw.cg25.model,PocketCD4,0,149,0,12,0,34,0,17,0,11
cg25,it.polimi.ingsw.cg25.model,MatchCD4,316,808,44,80,74,186,34,73,5,40
cg25,it.polimi.ingsw.cg25.model,PlayerCD4,1,364,3,37,0,80,3,37,0,20
cg25,it.polimi.ingsw.cg25.model,NobilityRank,0,4,0,0,0,2,0,1,0,1
cg25,it.polimi.ingsw.cg25.model,Coin,0,4,0,0,0,2,0,1,0,1
cg25,it.polimi.ingsw.cg25.model,Assistant,0,4,0,0,0,2,0,1,0,1
cg25,it.polimi.ingsw.cg25.model,VictoryPoint,0,4,0,0,0,2,0,1,0,1
cg25,it.polimi.ingsw.cg25.model,BoardCD4,0,154,0,24,0,45,0,23,0,11
cg25,it.polimi.ingsw.cg25.model,Pocketable,0,9,0,0,0,4,0,2,0,2
cg25,it.polimi.ingsw.cg25.model,MatchCD4.new Consumer() {...},0,25,0,2,0,6,0,3,0,2
cg25,it.polimi.ingsw.cg25.model,MatchCD4.new Comparator() {...},2,24,1,3,0,7,1,3,0,2
cg25,it.polimi.ingsw.cg25.model,MatchCD4.new Comparator() {...},0,28,0,4,0,7,0,4,0,2
cg25,it.polimi.ingsw.cg25.model,MatchCD4.new Comparator() {...},0,28,0,4,0,7,0,4,0,2
cg25,it.polimi.ingsw.cg25.servers,ServerCD4.expiredGameChecker,94,0,8,0,20,0,7,0,3,0
cg25,it.polimi.ingsw.cg25.servers,RMIServer,105,0,0,0,25,0,4,0,4,0
cg25,it.polimi.ingsw.cg25.servers,SocketServer,125,0,8,0,27,0,7,0,3,0
cg25,it.polimi.ingsw.cg25.servers,TimeChecker,0,19,0,0,0,8,0,4,0,4
cg25,it.polimi.ingsw.cg25.servers,ServerCD4,1186,0,80,0,271,0,50,0,10,0
cg25,it.polimi.ingsw.cg25.servers,ServerCD4.BoardPoolPopulator,222,0,6,0,32,0,6,0,3,0
cg25,it.polimi.ingsw.cg25.servers,ServerCD4.BoardPoolPopulator.new FilenameFilter() {...},59,0,8,0,7,0,6,0,2,0
cg25,it.polimi.ingsw.cg25.servers,ServerTimeChecker,51,0,8,0,14,0,6,0,2,0
cg25,it.polimi.ingsw.cg25.servers,GameCD4,683,76,74,0,115,16,56,1,19,1
cg25,it.polimi.ingsw.cg25.onlinegenerics,User,0,46,0,0,0,13,0,7,0,7
cg25,it.polimi.ingsw.cg25.observer,Observable,0,55,0,4,0,15,0,8,0,6
cg25,it.polimi.ingsw.cg25.model.dashboard,NobilityCell,0,45,0,6,0,14,0,7,0,4
cg25,it.polimi.ingsw.cg25.model.dashboard,Council,0,133,1,24,0,41,1,18,0,5
cg25,it.polimi.ingsw.cg25.model.dashboard,Emporium,0,29,0,4,0,10,0,5,0,3
cg25,it.polimi.ingsw.cg25.model.dashboard,Party,0,36,0,6,0,11,0,7,0,4
cg25,it.polimi.ingsw.cg25.model.dashboard,King,0,46,0,4,0,14,0,6,0,4
cg25,it.polimi.ingsw.cg25.model.dashboard,Councelor,2,58,1,9,0,18,1,8,0,4
cg25,it.polimi.ingsw.cg25.gui,BonusPanel,587,0,14,0,124,0,17,0,10,0
cg25,it.polimi.ingsw.cg25.gui,ChatPanel,316,0,2,0,67,0,6,0,5,0
cg25,it.polimi.ingsw.cg25.gui,CityColorLabel,109,0,6,0,27,0,8,0,5,0
cg25,it.polimi.ingsw.cg25.gui,ActionWindow,860,0,50,0,163,0,29,0,4,0
cg25,it.polimi.ingsw.cg25.gui,CardDisplayer,363,0,10,0,74,0,10,0,5,0
cg25,it.polimi.ingsw.cg25.gui,ConnectionChoser.changeActionListener,96,0,8,0,23,0,6,0,2,0
cg25,it.polimi.ingsw.cg25.gui,ActionWindow.elementChecker,15,0,0,0,4,0,1,0,1,0
cg25,it.polimi.ingsw.cg25.gui,PlayerPanel,535,0,4,0,94,0,5,0,3,0
cg25,it.polimi.ingsw.cg25.gui,ProductPane,343,0,10,0,66,0,6,0,1,0
cg25,it.polimi.ingsw.cg25.gui,ConnectionChoser.saveActionListener,69,0,8,0,13,0,6,0,2,0
cg25,it.polimi.ingsw.cg25.gui,PermitPane,446,0,14,0,86,0,13,0,6,0
cg25,it.polimi.ingsw.cg25.gui,CoFGui,1019,0,24,0,201,0,37,0,25,0
cg25,it.polimi.ingsw.cg25.gui,PlayerProgBar,20,0,0,0,7,0,2,0,2,0
cg25,it.polimi.ingsw.cg25.gui,Councelor,102,0,0,0,23,0,4,0,4,0
cg25,it.polimi.ingsw.cg25.gui,PlayersContainer,63,0,0,0,19,0,3,0,3,0
cg25,it.polimi.ingsw.cg25.gui,NobilityCellLabel,151,0,6,0,33,0,8,0,5,0
cg25,it.polimi.ingsw.cg25.gui,PlayersLayeredPane,221,0,0,0,38,0,4,0,4,0
cg25,it.polimi.ingsw.cg25.gui,CityPoint,24,0,4,0,8,0,5,0,3,0
cg25,it.polimi.ingsw.cg25.gui,ConnectionChoser,349,0,10,0,63,0,7,0,2,0
cg25,it.polimi.ingsw.cg25.gui,PlayerPanel.new ActionListener() {...},14,0,0,0,4,0,2,0,2,0
cg25,it.polimi.ingsw.cg25.gui,PlayerPanel.new ActionListener() {...},34,0,6,0,6,0,5,0,2,0
cg25,it.polimi.ingsw.cg25.gui,PlayerPanel.new ActionListener() {...},40,0,6,0,6,0,5,0,2,0
cg25,it.polimi.ingsw.cg25.gui,NobTrackContainer,37,0,0,0,13,0,2,0,2,0
cg25,it.polimi.ingsw.cg25.gui,ConnectionChoser.radioActionListener,50,0,6,0,12,0,5,0,2,0
cg25,it.polimi.ingsw.cg25.gui,ActionWindow.new ActionListener() {...},103,0,10,0,17,0,7,0,2,0
cg25,it.polimi.ingsw.cg25.gui,PoliticsCardLabel,65,0,2,0,19,0,3,0,2,0
cg25,it.polimi.ingsw.cg25.gui,ActionWindow.new ActionListener() {...},32,0,0,0,8,0,2,0,2,0
cg25,it.polimi.ingsw.cg25.gui,BalconyPanel,179,0,8,0,37,0,8,0,4,0
cg25,it.polimi.ingsw.cg25.gui,RegionTextPanel.new MouseListener() {...},41,0,0,0,9,0,6,0,6,0
cg25,it.polimi.ingsw.cg25.gui,AboutWindow,119,0,0,0,31,0,3,0,3,0
cg25,it.polimi.ingsw.cg25.gui,ActionWindow.elementChecker.new ActionListener() {...},141,0,26,0,16,0,15,0,2,0
cg25,it.polimi.ingsw.cg25.gui,MapPanel,751,0,26,0,99,0,17,0,4,0
cg25,it.polimi.ingsw.cg25.gui,RegionTextPanel,126,0,6,0,27,0,6,0,3,0
cg25,it.polimi.ingsw.cg25.gui,OtherPlayersPanel,191,0,6,0,40,0,6,0,3,0
cg25,it.polimi.ingsw.cg25.gui,CityEmporiums,30,0,2,0,9,0,2,0,1,0
cg25,it.polimi.ingsw.cg25.gui,CityLabel.new MouseListener() {...},37,0,0,0,9,0,6,0,6,0
cg25,it.polimi.ingsw.cg25.gui,KingRewardPanel,164,0,8,0,38,0,10,0,6,0
cg25,it.polimi.ingsw.cg25.gui,CityLabel,159,0,6,0,35,0,7,0,4,0
cg25,it.polimi.ingsw.cg25.gui,ActionLabel,167,0,18,0,38,0,10,0,1,0
cg25,it.polimi.ingsw.cg25.gui,PermitPane.new MouseListener() {...},40,0,0,0,9,0,6,0,6,0
cg25,it.polimi.ingsw.cg25.gui,CoFGui.new MouseListener() {...},16,0,0,0,10,0,6,0,6,0
cg25,it.polimi.ingsw.cg25.gui,CoFGui.new ActionListener() {...},16,0,0,0,4,0,2,0,2,0
cg25,it.polimi.ingsw.cg25.gui,CoFGui.new ActionListener() {...},22,0,2,0,6,0,3,0,2,0
cg25,it.polimi.ingsw.cg25.gui,CoFGui.new JLabel() {...},22,0,0,0,6,0,2,0,2,0
cg25,it.polimi.ingsw.cg25.gui,CoFGui.new ActionListener() {...},16,0,0,0,4,0,2,0,2,0
cg25,it.polimi.ingsw.cg25.gui,CoFGui.new ActionListener() {...},16,0,0,0,4,0,2,0,2,0
cg25,it.polimi.ingsw.cg25.gui,CoFGui.new ActionListener() {...},55,0,8,0,9,0,6,0,2,0
cg25,it.polimi.ingsw.cg25.gui,NobilityTrackPanel,164,0,4,0,39,0,6,0,4,0
cg25,it.polimi.ingsw.cg25.model.dto.dtoproduct,DTOProduct,0,186,0,16,0,45,0,21,0,13
cg25,it.polimi.ingsw.cg25.model.dto.dtoproduct,DTOProductPermit,0,74,0,2,0,11,0,3,0,2
cg25,it.polimi.ingsw.cg25.model.dto.dtoproduct,ProductGenerator,0,18,0,0,0,4,0,4,0,4
cg25,it.polimi.ingsw.cg25.model.dto.dtoproduct,DTOProductPoliticsCard,0,74,0,2,0,11,0,3,0,2
cg25,it.polimi.ingsw.cg25.model.dto.dtoproduct,DTOProductBonus,0,74,0,2,0,11,0,3,0,2
cg25,it.polimi.ingsw.cg25.clients,CliSimpleClient,702,0,42,0,182,0,29,0,8,0
cg25,it.polimi.ingsw.cg25.clients,GuiSimpleClient,259,0,24,0,56,0,22,0,10,0
cg25,it.polimi.ingsw.cg25.clients,Launcher,102,0,8,0,33,0,7,0,3,0
cg25,it.polimi.ingsw.cg25.clients,GuiSimpleClient.new Runnable() {...},20,0,0,0,3,0,2,0,2,0
cg25,it.polimi.ingsw.cg25.clients,GuiSimpleClient.new Runnable() {...},20,0,0,0,3,0,2,0,2,0
cg25,it.polimi.ingsw.cg25.clients,GuiSimpleClient.new Runnable() {...},18,0,0,0,3,0,2,0,2,0
cg25,it.polimi.ingsw.cg25.clients,GuiSimpleClient.new Runnable() {...},23,0,0,0,4,0,2,0,2,0
cg25,it.polimi.ingsw.cg25.clients,GuiSimpleClient.new Runnable() {...},23,0,0,0,8,0,2,0,2,0
cg25,it.polimi.ingsw.cg25.clients,GuiSimpleClient.new Runnable() {...},19,0,0,0,3,0,2,0,2,0
cg25,it.polimi.ingsw.cg25.clients,GuiSimpleClient.new Runnable() {...},30,0,0,0,5,0,2,0,2,0
cg25,it.polimi.ingsw.cg25.clients,GuiSimpleClient.new Runnable() {...},19,0,0,0,3,0,2,0,2,0
cg25,it.polimi.ingsw.cg25.clients,GuiSimpleClient.new Runnable() {...},19,0,0,0,3,0,2,0,2,0
cg25,it.polimi.ingsw.cg25.exceptions,CannotCreateGameException,0,13,0,0,0,6,0,3,0,3
cg25,it.polimi.ingsw.cg25.exceptions,NotEnoughCoinException,0,8,0,0,0,4,0,2,0,2
cg25,it.polimi.ingsw.cg25.exceptions,OneEmporiumOnlyException,0,8,0,0,0,4,0,2,0,2
cg25,it.polimi.ingsw.cg25.exceptions,EndGameException,0,7,0,0,0,4,0,2,0,2
cg25,it.polimi.ingsw.cg25.exceptions,NoGoodCardsException,0,8,0,0,0,4,0,2,0,2
cg25,it.polimi.ingsw.cg25.exceptions,NoCardsException,0,8,0,0,0,4,0,2,0,2
cg25,it.polimi.ingsw.cg25.exceptions,NotEnoughAssistantsException,0,8,0,0,0,4,0,2,0,2
cg25,it.polimi.ingsw.cg25.exceptions,CannotPerformActionException,0,13,0,0,0,6,0,3,0,3
cg25,it.polimi.ingsw.cg25.exceptions,CannotSetupActionException,0,13,0,0,0,6,0,3,0,3
cg25,it.polimi.ingsw.cg25.exceptions,ElementNotFoundException,0,8,0,0,0,4,0,2,0,2
cg25,it.polimi.ingsw.cg25.exceptions,CannotPassException,0,8,0,0,0,4,0,2,0,2
cg25,it.polimi.ingsw.cg25.communication,UnserializedVectorPacket,0,30,0,0,0,11,0,6,0,6
cg25,it.polimi.ingsw.cg25.communication,Packet,0,71,0,10,0,18,0,13,0,8
cg25,it.polimi.ingsw.cg25.communication,VectorPacket,3,28,0,0,2,10,0,6,0,6
cg25,it.polimi.ingsw.cg25.model.dashboard.bonus,BonusCreator,0,3,0,0,0,1,0,1,0,1
cg25,it.polimi.ingsw.cg25.model.dashboard.bonus,DrawPoliticsCardBonus,16,48,0,4,1,13,0,7,0,5
cg25,it.polimi.ingsw.cg25.model.dashboard.bonus,NobilityPointBonus,0,58,0,2,0,13,0,6,0,5
cg25,it.polimi.ingsw.cg25.model.dashboard.bonus,CoinBonus,0,39,0,2,0,10,0,6,0,5
cg25,it.polimi.ingsw.cg25.model.dashboard.bonus,CityBonus,14,67,0,4,1,16,0,7,0,5
cg25,it.polimi.ingsw.cg25.model.dashboard.bonus,ReusePermitBonus,22,74,1,5,2,17,1,7,0,5
cg25,it.polimi.ingsw.cg25.model.dashboard.bonus,VictoryPointBonus,0,39,0,2,0,10,0,6,0,5
cg25,it.polimi.ingsw.cg25.model.dashboard.bonus,BonusConcreteCreator,0,133,9,29,0,12,9,20,0,2
cg25,it.polimi.ingsw.cg25.model.dashboard.bonus,MainActionBonus,0,35,0,2,0,10,0,6,0,5
cg25,it.polimi.ingsw.cg25.model.dashboard.bonus,AssistantBonus,0,39,0,2,0,10,0,6,0,5
cg25,it.polimi.ingsw.cg25.model.dashboard.bonus,PermitCardBonus,14,72,0,4,1,16,0,7,0,5
cg25,it.polimi.ingsw.cg25.model.trade,ProductBonus,0,22,0,0,0,5,0,4,0,4
cg25,it.polimi.ingsw.cg25.model.trade,ProductPoliticsCard,0,18,0,0,0,5,0,3,0,3
cg25,it.polimi.ingsw.cg25.model.trade,Product,0,63,0,8,0,19,0,9,0,5
cg25,it.polimi.ingsw.cg25.model.trade,ProductPermitCard,0,18,0,0,0,5,0,3,0,3
cg25,it.polimi.ingsw.cg25.model.trade,Market,170,364,17,25,46,91,12,35,1,25
cg25,it.polimi.ingsw.cg25.views,SocketInputThread,60,0,2,0,27,0,4,0,3,0
cg25,it.polimi.ingsw.cg25.views,RMIView,145,0,10,0,40,0,13,0,8,0
cg25,it.polimi.ingsw.cg25.views,SocketView,180,0,26,0,46,0,20,0,7,0
cg25,it.polimi.ingsw.cg25.views,RMIView.RMIObservable,6,0,0,0,1,0,1,0,1,0
cg25,it.polimi.ingsw.cg25.gui.guilisteners,QuitAction,31,0,2,0,10,0,4,0,3,0
cg25,it.polimi.ingsw.cg25.gui.guilisteners,NobilityClick,37,0,0,0,12,0,6,0,6,0
cg25,it.polimi.ingsw.cg25.gui.guilisteners,ConnectionChoserActionListener,16,0,0,0,6,0,2,0,2,0
cg25,it.polimi.ingsw.cg25.gui.guilisteners,AboutAction,18,0,0,0,6,0,2,0,2,0
cg25,it.polimi.ingsw.cg25.gui.guilisteners,RewardClick,37,0,0,0,12,0,6,0,6,0
cg25,it.polimi.ingsw.cg25.gui.guilisteners,ChatSendButtonListener,90,0,12,0,17,0,8,0,2,0
cg25,it.polimi.ingsw.cg25.gui.guilisteners,ColorClick,37,0,0,0,12,0,6,0,6,0
cg25,it.polimi.ingsw.cg25.actions,ActionFabric,0,165,0,12,0,31,0,8,0,2
cg25,it.polimi.ingsw.cg25.actions,QuickAction,0,38,0,0,0,8,0,2,0,2
cg25,it.polimi.ingsw.cg25.actions,BuildWithKingAction,4,280,2,10,1,58,2,9,0,5
cg25,it.polimi.ingsw.cg25.actions,PermitCardBonusAction,150,24,17,1,30,7,11,2,2,2
cg25,it.polimi.ingsw.cg25.actions,Action,13,107,2,8,4,29,3,12,1,9
cg25,it.polimi.ingsw.cg25.actions,SellAssistant,1,103,1,1,1,23,1,5,0,5
cg25,it.polimi.ingsw.cg25.actions,MainAction,0,38,0,0,0,8,0,2,0,2
cg25,it.polimi.ingsw.cg25.actions,SingleChoiceInteraction,8,195,2,20,2,49,2,19,0,10
cg25,it.polimi.ingsw.cg25.actions,TurnControlAction,0,16,0,2,0,6,0,3,0,2
cg25,it.polimi.ingsw.cg25.actions,MarketAction,0,16,0,2,0,6,0,3,0,2
cg25,it.polimi.ingsw.cg25.actions,BuildWithPermitAction,16,195,3,9,4,42,3,10,0,7
